
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml
full      	    1,5052ms	1
full      	    1,4995ms	2
full      	    1,4385ms	3
full      	    1,4364ms	4
full      	    1,4376ms	5
full      	    1,4376ms	6
full      	    1,4401ms	7
full      	    1,4458ms	8
full      	    1,4413ms	9
full      	    1,4381ms	10
full      	    1,4360ms	11
full      	    1,4368ms	12
full      	    1,4381ms	13
full      	    1,4655ms	14
full      	    1,4397ms	15
full      	    1,4376ms	16
full      	    1,4368ms	17
full      	    1,4372ms	18
full      	    1,4393ms	19
full      	    1,4372ms	20
full      	    1,4372ms	21
full      	    1,4364ms	22
full      	    1,4364ms	23
full      	    1,4413ms	24
full      	    1,4458ms	25
full      	    1,4393ms	26
full      	    1,4385ms	27
full      	    1,4364ms	28
full      	    1,4368ms	29
full      	    1,4356ms	30
full      	    1,4409ms	31
full      	    1,4360ms	32
full      	    1,4389ms	33
full      	    1,4381ms	34
full      	    1,4352ms	35
full      	    1,4360ms	36
full      	    1,4389ms	37
full      	    1,4372ms	38
full      	    1,4360ms	39
full      	    1,4372ms	40
full      	    1,4364ms	41
full      	    1,4372ms	42
full      	    1,4372ms	43
full      	    1,4368ms	44
full      	    1,4360ms	45
full      	    1,4348ms	46
full      	    1,4364ms	47
full      	    1,4426ms	48
full      	    1,4356ms	49
full      	    1,4401ms	50
full      	    1,4372ms	51
full      	    1,4368ms	52
full      	    1,4360ms	53
full      	    1,4417ms	54
full      	    1,4381ms	55
full      	    1,4356ms	56
full      	    1,4413ms	57
full      	    1,4385ms	58
full      	    1,4381ms	59
full      	    1,4372ms	60
full      	    1,4368ms	61
full      	    1,4360ms	62
full      	    1,4381ms	63
full      	    1,4356ms	64
full      	    1,4381ms	65
full      	    1,4368ms	66
full      	    1,4417ms	67
full      	    1,4368ms	68
full      	    1,4376ms	69
full      	    1,4389ms	70
full      	    1,4991ms	71
full      	    1,4409ms	72
full      	    1,4393ms	73
full      	    1,4368ms	74
full      	    1,4360ms	75
full      	    1,4360ms	76
full      	    1,4401ms	77
full      	    1,4364ms	78
full      	    1,4368ms	79
full      	    1,4368ms	80
full      	    1,4385ms	81
full      	    1,4381ms	82
full      	    1,4909ms	83
full      	    1,4356ms	84
full      	    1,4364ms	85
full      	    1,4385ms	86
full      	    1,4364ms	87
full      	    1,4368ms	88
full      	    1,4393ms	89
full      	    1,4356ms	90
full      	    1,4348ms	91
full      	    1,4368ms	92
full      	    1,4376ms	93
full      	    1,4372ms	94
full      	    1,4372ms	95
full      	    1,4405ms	96
full      	    1,4372ms	97
full      	    1,4356ms	98
full      	    1,4360ms	99
full      	    1,4409ms	100

C:\Users\fbie\src\funcalc>echo off 
