
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\inventory\processed\Time.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\inventory\processed\Time.xml
full      	    3,8993ms	1
full      	    3,7359ms	2
full      	    3,7146ms	3
full      	    3,7105ms	4
full      	    3,7277ms	5
full      	    3,7105ms	6
full      	    3,7113ms	7
full      	    3,7957ms	8
full      	    3,7089ms	9
full      	    3,7908ms	10
full      	    3,7097ms	11
full      	    3,7093ms	12
full      	    3,7085ms	13
full      	    3,7072ms	14
full      	    3,7711ms	15
full      	    3,7109ms	16
full      	    3,7822ms	17
full      	    3,7036ms	18
full      	    3,7097ms	19
full      	    3,7097ms	20
full      	    3,7093ms	21
full      	    3,7396ms	22
full      	    3,7085ms	23
full      	    4,0001ms	24
full      	    3,7064ms	25
full      	    3,7883ms	26
full      	    3,7085ms	27
full      	    3,7072ms	28
full      	    3,7064ms	29
full      	    3,7093ms	30
full      	    3,7765ms	31
full      	    3,7093ms	32
full      	    3,7793ms	33
full      	    3,7093ms	34
full      	    3,7056ms	35
full      	    3,7068ms	36
full      	    3,7089ms	37
full      	    3,7081ms	38
full      	    3,7052ms	39
full      	    3,7826ms	40
full      	    3,7081ms	41
full      	    3,7326ms	42
full      	    3,7068ms	43
full      	    3,7105ms	44
full      	    3,7097ms	45
full      	    3,7117ms	46
full      	    3,7949ms	47
full      	    3,7072ms	48
full      	    3,7797ms	49
full      	    3,7081ms	50
full      	    3,7064ms	51
full      	    3,7085ms	52
full      	    3,7085ms	53
full      	    3,8141ms	54
full      	    3,7064ms	55
full      	    3,7879ms	56
full      	    3,7101ms	57
full      	    3,7093ms	58
full      	    3,7089ms	59
full      	    3,7101ms	60
full      	    3,7101ms	61
full      	    3,7097ms	62
full      	    3,7814ms	63
full      	    3,7093ms	64
full      	    3,7941ms	65
full      	    3,7072ms	66
full      	    3,7052ms	67
full      	    3,7052ms	68
full      	    3,7060ms	69
full      	    3,7867ms	70
full      	    3,7068ms	71
full      	    3,7756ms	72
full      	    3,7056ms	73
full      	    3,7048ms	74
full      	    3,7060ms	75
full      	    3,7081ms	76
full      	    3,7101ms	77
full      	    3,7109ms	78
full      	    3,7802ms	79
full      	    3,7109ms	80
full      	    3,7412ms	81
full      	    3,7089ms	82
full      	    3,7089ms	83
full      	    3,7064ms	84
full      	    3,7097ms	85
full      	    3,7867ms	86
full      	    3,7089ms	87
full      	    3,7756ms	88
full      	    3,7056ms	89
full      	    3,7097ms	90
full      	    3,7085ms	91
full      	    3,7072ms	92
full      	    3,7720ms	93
full      	    3,7085ms	94
full      	    3,7879ms	95
full      	    3,7097ms	96
full      	    3,7105ms	97
full      	    3,7097ms	98
full      	    3,7167ms	99
full      	    4,2713ms	100
