
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\modeling\processed\modeling-3.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\modeling\processed\modeling-3.xml
full      	    0,2796ms	1
full      	    0,2460ms	2
full      	    0,2453ms	3
full      	    0,2456ms	4
full      	    0,2958ms	5
full      	    0,2456ms	6
full      	    0,2460ms	7
full      	    0,2464ms	8
full      	    0,2460ms	9
full      	    0,2464ms	10
full      	    0,2911ms	11
full      	    0,2456ms	12
full      	    0,2460ms	13
full      	    0,2472ms	14
full      	    0,2453ms	15
full      	    0,2460ms	16
full      	    0,2476ms	17
full      	    0,2456ms	18
full      	    0,2460ms	19
full      	    0,2464ms	20
full      	    0,2453ms	21
full      	    0,2456ms	22
full      	    0,2464ms	23
full      	    0,2460ms	24
full      	    0,2464ms	25
full      	    0,2460ms	26
full      	    0,2453ms	27
full      	    0,2460ms	28
full      	    0,2472ms	29
full      	    0,2449ms	30
full      	    0,3246ms	31
full      	    0,2468ms	32
full      	    0,2456ms	33
full      	    0,2464ms	34
full      	    0,2464ms	35
full      	    0,2456ms	36
full      	    0,2464ms	37
full      	    0,2468ms	38
full      	    0,2456ms	39
full      	    0,2464ms	40
full      	    0,2464ms	41
full      	    0,2453ms	42
full      	    0,2464ms	43
full      	    0,2468ms	44
full      	    0,2460ms	45
full      	    0,2468ms	46
full      	    0,2464ms	47
full      	    0,2456ms	48
full      	    0,2464ms	49
full      	    0,2468ms	50
full      	    0,2453ms	51
full      	    0,2468ms	52
full      	    0,2460ms	53
full      	    0,2453ms	54
full      	    0,2464ms	55
full      	    0,2464ms	56
full      	    0,2453ms	57
full      	    0,2468ms	58
full      	    0,2472ms	59
full      	    0,2460ms	60
full      	    0,2464ms	61
full      	    0,2456ms	62
full      	    0,2456ms	63
full      	    0,2464ms	64
full      	    0,2468ms	65
full      	    0,2456ms	66
full      	    0,2468ms	67
full      	    0,2468ms	68
full      	    0,2460ms	69
full      	    0,2468ms	70
full      	    0,2476ms	71
full      	    0,2607ms	72
full      	    0,2919ms	73
full      	    0,2472ms	74
full      	    0,2456ms	75
full      	    0,2464ms	76
full      	    0,2480ms	77
full      	    0,2460ms	78
full      	    0,2468ms	79
full      	    0,2464ms	80
full      	    0,2449ms	81
full      	    0,2472ms	82
full      	    0,2464ms	83
full      	    0,2460ms	84
full      	    0,2464ms	85
full      	    0,2468ms	86
full      	    0,2460ms	87
full      	    0,2464ms	88
full      	    0,2468ms	89
full      	    0,2468ms	90
full      	    0,2460ms	91
full      	    0,2954ms	92
full      	    0,2460ms	93
full      	    0,2460ms	94
full      	    0,2468ms	95
full      	    0,2456ms	96
full      	    0,2460ms	97
full      	    0,2464ms	98
full      	    0,2460ms	99
full      	    0,2472ms	100
