
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml
full      	    1,0558ms	1
full      	    1,0353ms	2
full      	    1,0341ms	3
full      	    1,0353ms	4
full      	    1,0353ms	5
full      	    1,0380ms	6
full      	    1,0361ms	7
full      	    1,0519ms	8
full      	    1,0325ms	9
full      	    1,0353ms	10
full      	    1,0349ms	11
full      	    1,0321ms	12
full      	    1,0357ms	13
full      	    1,1360ms	14
full      	    1,0578ms	15
full      	    1,0523ms	16
full      	    1,0487ms	17
full      	    1,0491ms	18
full      	    1,0495ms	19
full      	    1,0499ms	20
full      	    1,0475ms	21
full      	    1,0503ms	22
full      	    1,0499ms	23
full      	    1,0495ms	24
full      	    1,0515ms	25
full      	    1,0503ms	26
full      	    1,0511ms	27
full      	    1,0483ms	28
full      	    1,0491ms	29
full      	    1,0787ms	30
full      	    1,0337ms	31
full      	    1,0305ms	32
full      	    1,0325ms	33
full      	    1,0313ms	34
full      	    1,0337ms	35
full      	    1,0353ms	36
full      	    1,0779ms	37
full      	    1,0317ms	38
full      	    1,0329ms	39
full      	    1,0341ms	40
full      	    1,0471ms	41
full      	    1,0341ms	42
full      	    1,0317ms	43
full      	    1,0337ms	44
full      	    1,0882ms	45
full      	    1,0329ms	46
full      	    1,0321ms	47
full      	    1,0333ms	48
full      	    1,0329ms	49
full      	    1,0325ms	50
full      	    1,0345ms	51
full      	    1,0317ms	52
full      	    1,0317ms	53
full      	    1,0329ms	54
full      	    1,0353ms	55
full      	    1,0313ms	56
full      	    1,0329ms	57
full      	    1,0345ms	58
full      	    1,0341ms	59
full      	    1,0483ms	60
full      	    1,0570ms	61
full      	    1,0495ms	62
full      	    1,0475ms	63
full      	    1,0515ms	64
full      	    1,0515ms	65
full      	    1,0495ms	66
full      	    1,0495ms	67
full      	    1,0866ms	68
full      	    1,0483ms	69
full      	    1,0499ms	70
full      	    1,0515ms	71
full      	    1,0499ms	72
full      	    1,0491ms	73
full      	    1,0499ms	74
full      	    1,0483ms	75
full      	    1,1115ms	76
full      	    1,0416ms	77
full      	    1,0230ms	78
full      	    1,0222ms	79
full      	    1,0218ms	80
full      	    1,0218ms	81
full      	    1,0214ms	82
full      	    1,0645ms	83
full      	    1,0191ms	84
full      	    1,0218ms	85
full      	    1,0218ms	86
full      	    1,0207ms	87
full      	    1,0222ms	88
full      	    1,0203ms	89
full      	    1,0222ms	90
full      	    1,0211ms	91
full      	    1,0222ms	92
full      	    1,0207ms	93
full      	    1,0214ms	94
full      	    1,0199ms	95
full      	    1,0203ms	96
full      	    1,0214ms	97
full      	    1,1297ms	98
full      	    1,0195ms	99
full      	    1,0199ms	100
