
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\grades\processed\2000_places_School.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\grades\processed\2000_places_School.xml
full      	    1,8857ms	1
full      	    2,1267ms	2
full      	    1,8620ms	3
full      	    1,8399ms	4
full      	    1,8399ms	5
full      	    1,8379ms	6
full      	    1,8423ms	7
full      	    1,8391ms	8
full      	    1,8403ms	9
full      	    1,8407ms	10
full      	    1,9355ms	11
full      	    1,8415ms	12
full      	    1,8395ms	13
full      	    1,8411ms	14
full      	    1,8399ms	15
full      	    1,8403ms	16
full      	    1,8419ms	17
full      	    1,8395ms	18
full      	    1,8391ms	19
full      	    1,9414ms	20
full      	    1,8415ms	21
full      	    1,8383ms	22
full      	    1,8403ms	23
full      	    1,8395ms	24
full      	    1,8415ms	25
full      	    1,8399ms	26
full      	    1,8387ms	27
full      	    1,8407ms	28
full      	    1,9264ms	29
full      	    1,8399ms	30
full      	    1,8379ms	31
full      	    1,8411ms	32
full      	    1,8766ms	33
full      	    1,8897ms	34
full      	    1,8403ms	35
full      	    1,8375ms	36
full      	    1,8419ms	37
full      	    1,8399ms	38
full      	    1,8419ms	39
full      	    1,8415ms	40
full      	    1,8407ms	41
full      	    1,8565ms	42
full      	    1,9237ms	43
full      	    1,8462ms	44
full      	    1,8486ms	45
full      	    1,8466ms	46
full      	    1,8478ms	47
full      	    1,8640ms	48
full      	    1,8466ms	49
full      	    1,8474ms	50
full      	    1,8462ms	51
full      	    1,8470ms	52
full      	    1,8482ms	53
full      	    1,8494ms	54
full      	    1,8466ms	55
full      	    1,8498ms	56
full      	    1,9122ms	57
full      	    1,9007ms	58
full      	    1,8928ms	59
full      	    1,8924ms	60
full      	    1,9205ms	61
full      	    1,9316ms	62
full      	    1,8917ms	63
full      	    1,8940ms	64
full      	    1,8913ms	65
full      	    1,8913ms	66
full      	    1,8506ms	67
full      	    1,8490ms	68
full      	    1,8486ms	69
full      	    1,8498ms	70
full      	    1,8474ms	71
full      	    2,9768ms	72
full      	    1,8620ms	73
full      	    1,8391ms	74
full      	    1,8407ms	75
full      	    1,8565ms	76
full      	    1,8403ms	77
full      	    1,8403ms	78
full      	    1,8407ms	79
full      	    1,9150ms	80
full      	    1,8407ms	81
full      	    1,8407ms	82
full      	    1,8379ms	83
full      	    1,8403ms	84
full      	    1,9007ms	85
full      	    1,8395ms	86
full      	    1,8403ms	87
full      	    1,8541ms	88
full      	    1,8549ms	89
full      	    1,8478ms	90
full      	    1,8490ms	91
full      	    1,8502ms	92
full      	    1,8486ms	93
full      	    1,9150ms	94
full      	    1,8498ms	95
full      	    1,8502ms	96
full      	    1,8494ms	97
full      	    1,8494ms	98
full      	    1,9399ms	99
full      	    1,8498ms	100
