
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\grades\processed\2002Qvols.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\grades\processed\2002Qvols.xml
full      	    1,6846ms	1
full      	    1,6551ms	2
full      	    1,6531ms	3
full      	    1,6834ms	4
full      	    1,6506ms	5
full      	    1,6519ms	6
full      	    1,6498ms	7
full      	    1,7010ms	8
full      	    1,6515ms	9
full      	    1,6490ms	10
full      	    1,6482ms	11
full      	    1,7256ms	12
full      	    1,6486ms	13
full      	    1,6478ms	14
full      	    1,6633ms	15
full      	    1,6482ms	16
full      	    1,6474ms	17
full      	    1,6625ms	18
full      	    1,6453ms	19
full      	    1,6449ms	20
full      	    1,9116ms	21
full      	    1,6482ms	22
full      	    1,6465ms	23
full      	    1,6478ms	24
full      	    1,6461ms	25
full      	    1,6470ms	26
full      	    1,6449ms	27
full      	    1,6441ms	28
full      	    1,6441ms	29
full      	    1,6564ms	30
full      	    1,6470ms	31
full      	    1,6457ms	32
full      	    1,6449ms	33
full      	    1,7117ms	34
full      	    1,6449ms	35
full      	    1,6441ms	36
full      	    1,6441ms	37
full      	    1,6449ms	38
full      	    1,6646ms	39
full      	    1,6457ms	40
full      	    1,6465ms	41
full      	    1,6453ms	42
full      	    1,7117ms	43
full      	    1,6207ms	44
full      	    1,9222ms	45
full      	    1,6478ms	46
full      	    1,6465ms	47
full      	    1,6453ms	48
full      	    1,6461ms	49
full      	    1,6465ms	50
full      	    1,6449ms	51
full      	    1,6445ms	52
full      	    1,6433ms	53
full      	    1,6445ms	54
full      	    1,6457ms	55
full      	    1,7551ms	56
full      	    1,6461ms	57
full      	    1,6441ms	58
full      	    1,6461ms	59
full      	    1,6453ms	60
full      	    1,6465ms	61
full      	    1,6453ms	62
full      	    1,6457ms	63
full      	    1,6445ms	64
full      	    1,7186ms	65
full      	    1,6470ms	66
full      	    1,6449ms	67
full      	    1,6449ms	68
full      	    1,6646ms	69
full      	    1,6461ms	70
full      	    1,6445ms	71
full      	    1,6461ms	72
full      	    1,6445ms	73
full      	    1,6449ms	74
full      	    1,6461ms	75
full      	    1,6474ms	76
full      	    1,6662ms	77
full      	    1,7133ms	78
full      	    1,6429ms	79
full      	    1,6441ms	80
full      	    1,6453ms	81
full      	    1,6674ms	82
full      	    1,6457ms	83
full      	    1,6453ms	84
full      	    1,6474ms	85
full      	    1,6465ms	86
full      	    1,6572ms	87
full      	    1,6703ms	88
full      	    1,6453ms	89
full      	    1,6470ms	90
full      	    1,7469ms	91
full      	    1,6461ms	92
full      	    1,6445ms	93
full      	    1,6457ms	94
full      	    1,6441ms	95
full      	    1,6449ms	96
full      	    1,6437ms	97
full      	    1,6470ms	98
full      	    1,6470ms	99
full      	    1,7776ms	100
