
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\inventory\processed\WasteCalendarCalculat#A843B.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\inventory\processed\WasteCalendarCalculat#A843B.xml
full      	    1,2681ms	1
full      	    1,2079ms	2
full      	    1,2075ms	3
full      	    1,2054ms	4
full      	    1,2025ms	5
full      	    1,2062ms	6
full      	    1,2066ms	7
full      	    1,2042ms	8
full      	    1,2079ms	9
full      	    1,2050ms	10
full      	    1,2075ms	11
full      	    1,2746ms	12
full      	    1,2062ms	13
full      	    1,2054ms	14
full      	    1,2050ms	15
full      	    1,2042ms	16
full      	    1,2054ms	17
full      	    1,2091ms	18
full      	    1,2062ms	19
full      	    1,2050ms	20
full      	    1,2050ms	21
full      	    1,2034ms	22
full      	    1,2062ms	23
full      	    1,2124ms	24
full      	    1,2046ms	25
full      	    1,2034ms	26
full      	    1,2058ms	27
full      	    1,2046ms	28
full      	    1,2062ms	29
full      	    1,2095ms	30
full      	    1,2062ms	31
full      	    1,2042ms	32
full      	    1,2062ms	33
full      	    1,2042ms	34
full      	    0,9179ms	35
full      	    0,9158ms	36
full      	    0,9179ms	37
full      	    0,9158ms	38
full      	    0,9183ms	39
full      	    0,9322ms	40
full      	    0,9170ms	41
full      	    0,9162ms	42
full      	    0,9162ms	43
full      	    0,9568ms	44
full      	    0,9322ms	45
full      	    0,9146ms	46
full      	    0,9162ms	47
full      	    0,9154ms	48
full      	    0,9162ms	49
full      	    0,9297ms	50
full      	    0,9162ms	51
full      	    1,0330ms	52
full      	    0,9154ms	53
full      	    0,9142ms	54
full      	    0,9297ms	55
full      	    0,9142ms	56
full      	    0,9154ms	57
full      	    0,9138ms	58
full      	    0,9142ms	59
full      	    0,9515ms	60
full      	    0,9142ms	61
full      	    0,9125ms	62
full      	    0,9146ms	63
full      	    0,9134ms	64
full      	    0,9289ms	65
full      	    0,9125ms	66
full      	    0,9109ms	67
full      	    0,9125ms	68
full      	    0,9117ms	69
full      	    0,9285ms	70
full      	    0,9134ms	71
full      	    0,9117ms	72
full      	    0,9138ms	73
full      	    0,9121ms	74
full      	    0,9748ms	75
full      	    0,9101ms	76
full      	    0,9129ms	77
full      	    0,9121ms	78
full      	    0,9138ms	79
full      	    0,9121ms	80
full      	    0,9125ms	81
full      	    0,9125ms	82
full      	    0,9850ms	83
full      	    0,9121ms	84
full      	    0,9134ms	85
full      	    0,9117ms	86
full      	    0,9134ms	87
full      	    0,9097ms	88
full      	    0,9129ms	89
full      	    0,9125ms	90
full      	    0,9773ms	91
full      	    0,9084ms	92
full      	    0,9129ms	93
full      	    0,9113ms	94
full      	    0,9129ms	95
full      	    0,9121ms	96
full      	    0,9134ms	97
full      	    0,9117ms	98
full      	    0,9330ms	99
full      	    0,9121ms	100
