
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\modeling\processed\funding.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\modeling\processed\funding.xml
full      	    3,2071ms	1
full      	    3,1903ms	2
full      	    3,2669ms	3
full      	    3,1899ms	4
full      	    3,1887ms	5
full      	    3,3038ms	6
full      	    3,1858ms	7
full      	    3,1936ms	8
full      	    3,1903ms	9
full      	    3,1883ms	10
full      	    3,1883ms	11
full      	    3,1916ms	12
full      	    3,1903ms	13
full      	    3,1887ms	14
full      	    3,1899ms	15
full      	    3,1850ms	16
full      	    3,2657ms	17
full      	    3,1916ms	18
full      	    3,1883ms	19
full      	    3,2935ms	20
full      	    3,1911ms	21
full      	    3,1928ms	22
full      	    3,4095ms	23
full      	    3,1862ms	24
full      	    3,1862ms	25
full      	    3,2559ms	26
full      	    3,1887ms	27
full      	    3,1907ms	28
full      	    3,2243ms	29
full      	    3,1907ms	30
full      	    3,1891ms	31
full      	    3,6433ms	32
full      	    3,1887ms	33
full      	    3,1842ms	34
full      	    3,1891ms	35
full      	    3,1887ms	36
full      	    3,2710ms	37
full      	    3,1916ms	38
full      	    3,1911ms	39
full      	    3,2636ms	40
full      	    3,1854ms	41
full      	    3,1862ms	42
full      	    3,2849ms	43
full      	    3,1862ms	44
full      	    3,1903ms	45
full      	    3,2538ms	46
full      	    3,1883ms	47
full      	    3,1858ms	48
full      	    3,2808ms	49
full      	    3,1862ms	50
full      	    3,1883ms	51
full      	    3,1871ms	52
full      	    3,1846ms	53
full      	    3,1875ms	54
full      	    3,1899ms	55
full      	    3,1903ms	56
full      	    3,1875ms	57
full      	    3,1899ms	58
full      	    3,1879ms	59
full      	    3,1924ms	60
full      	    3,1871ms	61
full      	    3,1932ms	62
full      	    3,2677ms	63
full      	    3,1866ms	64
full      	    3,1858ms	65
full      	    3,3001ms	66
full      	    3,1842ms	67
full      	    3,1891ms	68
full      	    3,2575ms	69
full      	    3,1883ms	70
full      	    3,1903ms	71
full      	    3,2981ms	72
full      	    3,1899ms	73
full      	    3,1883ms	74
full      	    3,2251ms	75
full      	    3,1891ms	76
full      	    3,1858ms	77
full      	    3,1920ms	78
full      	    3,1858ms	79
full      	    3,1875ms	80
full      	    3,1924ms	81
full      	    3,1948ms	82
full      	    3,1899ms	83
full      	    3,1911ms	84
full      	    3,1866ms	85
full      	    3,2374ms	86
full      	    3,2047ms	87
full      	    3,1850ms	88
full      	    3,1862ms	89
full      	    3,1862ms	90
full      	    3,1866ms	91
full      	    3,1907ms	92
full      	    3,1928ms	93
full      	    3,2530ms	94
full      	    3,1903ms	95
full      	    3,1866ms	96
full      	    3,2784ms	97
full      	    3,1879ms	98
full      	    3,2555ms	99
full      	    3,2501ms	100
