
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\modeling\processed\iste-cs-2003-modeling-sim.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\modeling\processed\iste-cs-2003-modeling-sim.xml
full      	    3,3566ms	1
full      	    3,3247ms	2
full      	    3,2563ms	3
full      	    2,5227ms	4
full      	    2,5227ms	5
full      	    2,5174ms	6
full      	    2,6034ms	7
full      	    2,5366ms	8
full      	    2,5182ms	9
full      	    2,5190ms	10
full      	    2,6009ms	11
full      	    2,5194ms	12
full      	    2,5317ms	13
full      	    2,5157ms	14
full      	    2,6140ms	15
full      	    2,5202ms	16
full      	    2,5124ms	17
full      	    2,5280ms	18
full      	    2,5141ms	19
full      	    2,5260ms	20
full      	    2,5112ms	21
full      	    2,5100ms	22
full      	    2,5145ms	23
full      	    2,5128ms	24
full      	    2,5128ms	25
full      	    2,5710ms	26
full      	    2,5112ms	27
full      	    2,5124ms	28
full      	    2,5137ms	29
full      	    2,5788ms	30
full      	    2,5092ms	31
full      	    2,5104ms	32
full      	    2,5092ms	33
full      	    2,6275ms	34
full      	    2,5088ms	35
full      	    2,5108ms	36
full      	    2,5112ms	37
full      	    2,5772ms	38
full      	    2,5116ms	39
full      	    2,5104ms	40
full      	    2,5092ms	41
full      	    2,5112ms	42
full      	    2,5088ms	43
full      	    2,5116ms	44
full      	    2,5092ms	45
full      	    2,5128ms	46
full      	    2,5079ms	47
full      	    2,5116ms	48
full      	    2,5952ms	49
full      	    2,5124ms	50
full      	    2,5137ms	51
full      	    2,5124ms	52
full      	    2,5784ms	53
full      	    2,5137ms	54
full      	    2,5100ms	55
full      	    2,5083ms	56
full      	    2,5804ms	57
full      	    2,5096ms	58
full      	    2,5108ms	59
full      	    2,5112ms	60
full      	    2,7000ms	61
full      	    2,5096ms	62
full      	    2,5112ms	63
full      	    2,5096ms	64
full      	    2,5112ms	65
full      	    2,5083ms	66
full      	    2,5092ms	67
full      	    2,5341ms	68
full      	    2,5088ms	69
full      	    2,5100ms	70
full      	    2,5128ms	71
full      	    2,5890ms	72
full      	    2,5100ms	73
full      	    2,5096ms	74
full      	    2,5120ms	75
full      	    2,5944ms	76
full      	    2,5100ms	77
full      	    2,5079ms	78
full      	    2,5088ms	79
full      	    2,5780ms	80
full      	    2,5128ms	81
full      	    2,5112ms	82
full      	    2,5178ms	83
full      	    2,5104ms	84
full      	    2,5112ms	85
full      	    2,5079ms	86
full      	    2,5104ms	87
full      	    2,5108ms	88
full      	    2,5120ms	89
full      	    2,5108ms	90
full      	    2,5538ms	91
full      	    2,5104ms	92
full      	    2,5096ms	93
full      	    2,5116ms	94
full      	    2,5903ms	95
full      	    2,5116ms	96
full      	    2,5112ms	97
full      	    2,5104ms	98
full      	    2,6312ms	99
full      	    2,5112ms	100
