
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\modeling\processed\modeling-3.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\modeling\processed\modeling-3.xml
full      	    0,3713ms	1
full      	    0,3523ms	2
full      	    0,3997ms	3
full      	    0,4357ms	4
full      	    0,3891ms	5
full      	    0,3472ms	6
full      	    0,3503ms	7
full      	    0,3468ms	8
full      	    0,3464ms	9
full      	    0,3464ms	10
full      	    0,3456ms	11
full      	    0,3448ms	12
full      	    0,3456ms	13
full      	    0,3456ms	14
full      	    0,3436ms	15
full      	    0,3507ms	16
full      	    0,3685ms	17
full      	    0,3796ms	18
full      	    0,3733ms	19
full      	    0,7963ms	20
full      	    0,3661ms	21
full      	    0,5147ms	22
full      	    0,4791ms	23
full      	    0,3697ms	24
full      	    0,3642ms	25
full      	    0,3523ms	26
full      	    0,3784ms	27
full      	    0,3468ms	28
full      	    0,3448ms	29
full      	    0,3424ms	30
full      	    0,3448ms	31
full      	    0,3440ms	32
full      	    0,3428ms	33
full      	    0,3444ms	34
full      	    0,3448ms	35
full      	    0,3421ms	36
full      	    0,3440ms	37
full      	    0,3444ms	38
full      	    0,3772ms	39
full      	    0,3444ms	40
full      	    0,3460ms	41
full      	    0,3421ms	42
full      	    0,3448ms	43
full      	    0,3444ms	44
full      	    0,3432ms	45
full      	    0,3456ms	46
full      	    0,3444ms	47
full      	    0,3424ms	48
full      	    0,3448ms	49
full      	    0,3452ms	50
full      	    0,3417ms	51
full      	    0,3456ms	52
full      	    0,3436ms	53
full      	    0,3421ms	54
full      	    0,3448ms	55
full      	    0,3440ms	56
full      	    0,3424ms	57
full      	    0,3448ms	58
full      	    0,3444ms	59
full      	    0,3436ms	60
full      	    0,3440ms	61
full      	    0,3626ms	62
full      	    0,3440ms	63
full      	    0,3440ms	64
full      	    0,3432ms	65
full      	    0,3436ms	66
full      	    0,3444ms	67
full      	    0,3440ms	68
full      	    0,3428ms	69
full      	    0,3448ms	70
full      	    0,3448ms	71
full      	    0,3424ms	72
full      	    0,3440ms	73
full      	    0,3436ms	74
full      	    0,3424ms	75
full      	    0,3448ms	76
full      	    0,3440ms	77
full      	    0,3421ms	78
full      	    0,3444ms	79
full      	    0,3432ms	80
full      	    0,3428ms	81
full      	    0,3448ms	82
full      	    0,3444ms	83
full      	    0,4456ms	84
full      	    0,3385ms	85
full      	    0,3381ms	86
full      	    0,3377ms	87
full      	    0,3397ms	88
full      	    0,3389ms	89
full      	    0,3377ms	90
full      	    0,3389ms	91
full      	    0,3393ms	92
full      	    0,3377ms	93
full      	    0,3401ms	94
full      	    0,3385ms	95
full      	    0,3373ms	96
full      	    0,3389ms	97
full      	    0,3385ms	98
full      	    0,3377ms	99
full      	    0,3602ms	100
