
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml
full      	    1,5315ms	1
full      	    1,5181ms	2
full      	    1,5133ms	3
full      	    1,5133ms	4
full      	    1,5110ms	5
full      	    1,5671ms	6
full      	    1,9435ms	7
full      	    1,6342ms	8
full      	    1,5141ms	9
full      	    1,5121ms	10
full      	    1,5114ms	11
full      	    1,5998ms	12
full      	    1,6121ms	13
full      	    2,1948ms	14
full      	    2,2868ms	15
full      	    2,3710ms	16
full      	    1,5777ms	17
full      	    1,5114ms	18
full      	    1,5114ms	19
full      	    1,5114ms	20
full      	    1,5098ms	21
full      	    1,5125ms	22
full      	    1,5102ms	23
full      	    1,5046ms	24
full      	    1,5035ms	25
full      	    1,5054ms	26
full      	    1,5023ms	27
full      	    1,5023ms	28
full      	    1,5035ms	29
full      	    1,5062ms	30
full      	    1,5035ms	31
full      	    1,5015ms	32
full      	    1,5039ms	33
full      	    1,5011ms	34
full      	    1,5777ms	35
full      	    1,5074ms	36
full      	    1,5046ms	37
full      	    1,5042ms	38
full      	    1,5181ms	39
full      	    1,5161ms	40
full      	    1,5706ms	41
full      	    1,5149ms	42
full      	    1,5149ms	43
full      	    1,5299ms	44
full      	    1,5125ms	45
full      	    1,5121ms	46
full      	    1,5884ms	47
full      	    1,5157ms	48
full      	    1,5185ms	49
full      	    1,5125ms	50
full      	    1,5121ms	51
full      	    1,5110ms	52
full      	    1,5580ms	53
full      	    1,5141ms	54
full      	    1,5133ms	55
full      	    1,5153ms	56
full      	    1,5149ms	57
full      	    1,5137ms	58
full      	    1,5418ms	59
full      	    1,5149ms	60
full      	    1,5153ms	61
full      	    1,5169ms	62
full      	    1,5141ms	63
full      	    1,5157ms	64
full      	    1,5145ms	65
full      	    1,5149ms	66
full      	    1,5145ms	67
full      	    1,5437ms	68
full      	    1,5161ms	69
full      	    1,5121ms	70
full      	    1,5145ms	71
full      	    1,5161ms	72
full      	    1,5129ms	73
full      	    1,5125ms	74
full      	    1,5121ms	75
full      	    1,5141ms	76
full      	    1,5110ms	77
full      	    1,5181ms	78
full      	    1,5141ms	79
full      	    1,5106ms	80
full      	    1,5121ms	81
full      	    1,5118ms	82
full      	    1,5118ms	83
full      	    1,5125ms	84
full      	    1,5125ms	85
full      	    1,5118ms	86
full      	    1,5121ms	87
full      	    1,5129ms	88
full      	    1,5114ms	89
full      	    1,5449ms	90
full      	    1,5129ms	91
full      	    1,5114ms	92
full      	    1,5125ms	93
full      	    1,5133ms	94
full      	    1,5114ms	95
full      	    1,5114ms	96
full      	    1,5098ms	97
full      	    1,5129ms	98
full      	    1,5114ms	99
full      	    1,5141ms	100
