
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 "C:\Users\fbie\src\funcalc-euses\filby\processed\EUSE.xml" 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\filby\processed\EUSE.xml
full      	    0,8738ms	1
full      	    0,8382ms	2
full      	    0,8382ms	3
full      	    0,8378ms	4
full      	    0,9461ms	5
full      	    0,8564ms	6
full      	    0,8370ms	7
full      	    0,8374ms	8
full      	    0,8366ms	9
full      	    0,8366ms	10
full      	    0,8382ms	11
full      	    0,8370ms	12
full      	    0,8374ms	13
full      	    0,8366ms	14
full      	    0,8366ms	15
full      	    0,8378ms	16
full      	    0,8378ms	17
full      	    0,8370ms	18
full      	    0,8370ms	19
full      	    0,8382ms	20
full      	    1,4517ms	21
full      	    1,4904ms	22
full      	    1,3723ms	23
full      	    1,1590ms	24
full      	    1,2238ms	25
full      	    0,8568ms	26
full      	    0,8378ms	27
full      	    0,8370ms	28
full      	    0,9200ms	29
full      	    0,8386ms	30
full      	    0,8374ms	31
full      	    0,8382ms	32
full      	    0,8382ms	33
full      	    0,8362ms	34
full      	    0,8370ms	35
full      	    0,8386ms	36
full      	    0,8382ms	37
full      	    0,8370ms	38
full      	    0,8374ms	39
full      	    0,8386ms	40
full      	    0,8386ms	41
full      	    0,8355ms	42
full      	    0,8366ms	43
full      	    0,8382ms	44
full      	    0,8378ms	45
full      	    0,8370ms	46
full      	    0,8370ms	47
full      	    0,8382ms	48
full      	    0,8382ms	49
full      	    0,8374ms	50
full      	    0,8501ms	51
full      	    0,8509ms	52
full      	    0,8671ms	53
full      	    0,8493ms	54
full      	    0,9504ms	55
full      	    0,8497ms	56
full      	    0,8485ms	57
full      	    0,8473ms	58
full      	    0,8461ms	59
full      	    0,8457ms	60
full      	    0,8465ms	61
full      	    0,8473ms	62
full      	    0,8453ms	63
full      	    0,8469ms	64
full      	    0,8477ms	65
full      	    0,8485ms	66
full      	    0,8465ms	67
full      	    0,8457ms	68
full      	    0,8461ms	69
full      	    0,8461ms	70
full      	    0,8465ms	71
full      	    0,8473ms	72
full      	    0,8469ms	73
full      	    1,1045ms	74
full      	    0,8536ms	75
full      	    0,8477ms	76
full      	    0,8453ms	77
full      	    0,8465ms	78
full      	    0,8465ms	79
full      	    0,8469ms	80
full      	    0,8599ms	81
full      	    0,8469ms	82
full      	    0,9231ms	83
full      	    0,8477ms	84
full      	    0,8465ms	85
full      	    0,8465ms	86
full      	    0,8453ms	87
full      	    0,8461ms	88
full      	    0,8457ms	89
full      	    0,8465ms	90
full      	    0,8469ms	91
full      	    0,8465ms	92
full      	    0,8667ms	93
full      	    0,8607ms	94
full      	    0,8592ms	95
full      	    0,8584ms	96
full      	    0,8588ms	97
full      	    0,8580ms	98
full      	    0,8595ms	99
full      	    0,8588ms	100
