
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 C:\Users\fbie\src\funcalc-euses\homework\processed\Test%20Station%20Powe#A90F3.xml 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\homework\processed\Test%20Station%20Powe#A90F3.xml
full      	    2,5772ms	1
full      	    2,5333ms	2
full      	    2,5317ms	3
full      	    2,6087ms	4
full      	    2,5292ms	5
full      	    2,5321ms	6
full      	    2,5309ms	7
full      	    2,5305ms	8
full      	    2,5288ms	9
full      	    2,5288ms	10
full      	    2,5948ms	11
full      	    2,5350ms	12
full      	    2,5317ms	13
full      	    2,6025ms	14
full      	    2,5292ms	15
full      	    2,5300ms	16
full      	    2,5284ms	17
full      	    2,5370ms	18
full      	    2,5366ms	19
full      	    2,5350ms	20
full      	    2,6402ms	21
full      	    2,5305ms	22
full      	    2,5350ms	23
full      	    2,5325ms	24
full      	    2,5346ms	25
full      	    2,5362ms	26
full      	    2,5382ms	27
full      	    2,6062ms	28
full      	    2,5325ms	29
full      	    2,5313ms	30
full      	    2,5329ms	31
full      	    2,5309ms	32
full      	    2,5341ms	33
full      	    2,5382ms	34
full      	    2,5980ms	35
full      	    2,5366ms	36
full      	    2,5362ms	37
full      	    2,6177ms	38
full      	    2,5350ms	39
full      	    2,5317ms	40
full      	    2,5354ms	41
full      	    2,5366ms	42
full      	    2,5370ms	43
full      	    2,5337ms	44
full      	    2,6042ms	45
full      	    2,5358ms	46
full      	    2,5346ms	47
full      	    2,5341ms	48
full      	    2,5346ms	49
full      	    2,5309ms	50
full      	    2,5333ms	51
full      	    2,6017ms	52
full      	    2,5370ms	53
full      	    2,5333ms	54
full      	    2,5305ms	55
full      	    2,5374ms	56
full      	    2,5309ms	57
full      	    2,5337ms	58
full      	    2,7226ms	59
full      	    2,5321ms	60
full      	    2,5341ms	61
full      	    2,6021ms	62
full      	    2,5325ms	63
full      	    2,5354ms	64
full      	    2,5366ms	65
full      	    2,5358ms	66
full      	    2,5321ms	67
full      	    2,5358ms	68
full      	    2,6025ms	69
full      	    2,5350ms	70
full      	    2,5329ms	71
full      	    2,5337ms	72
full      	    2,5268ms	73
full      	    2,5333ms	74
full      	    2,5341ms	75
full      	    2,5878ms	76
full      	    2,5362ms	77
full      	    2,5317ms	78
full      	    2,6267ms	79
full      	    2,5358ms	80
full      	    2,5321ms	81
full      	    2,5341ms	82
full      	    2,5325ms	83
full      	    2,5354ms	84
full      	    2,5350ms	85
full      	    2,6136ms	86
full      	    2,5337ms	87
full      	    2,5350ms	88
full      	    2,5296ms	89
full      	    2,5346ms	90
full      	    2,5366ms	91
full      	    2,5358ms	92
full      	    2,6005ms	93
full      	    2,5354ms	94
full      	    2,5321ms	95
full      	    2,6030ms	96
full      	    2,5374ms	97
full      	    2,5341ms	98
full      	    2,5362ms	99
full      	    2,5313ms	100

C:\Users\fbie\src\funcalc>echo off 
