
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 C:\Users\fbie\src\funcalc-euses\inventory\processed\WasteCalendarCalculat#A843B.xml 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\inventory\processed\WasteCalendarCalculat#A843B.xml
full      	    1,3049ms	1
full      	    1,2435ms	2
full      	    1,2406ms	3
full      	    1,2386ms	4
full      	    1,2402ms	5
full      	    1,2394ms	6
full      	    1,2447ms	7
full      	    1,2378ms	8
full      	    1,2353ms	9
full      	    1,2398ms	10
full      	    1,2398ms	11
full      	    1,2406ms	12
full      	    1,2386ms	13
full      	    1,2369ms	14
full      	    1,2353ms	15
full      	    1,2382ms	16
full      	    1,2378ms	17
full      	    1,2365ms	18
full      	    1,2374ms	19
full      	    1,2369ms	20
full      	    1,2713ms	21
full      	    1,2357ms	22
full      	    1,2390ms	23
full      	    1,2378ms	24
full      	    1,2398ms	25
full      	    1,2324ms	26
full      	    1,2353ms	27
full      	    1,2365ms	28
full      	    1,2386ms	29
full      	    1,2386ms	30
full      	    1,2374ms	31
full      	    1,2365ms	32
full      	    1,2402ms	33
full      	    1,2365ms	34
full      	    1,2382ms	35
full      	    1,2374ms	36
full      	    1,2386ms	37
full      	    1,2378ms	38
full      	    1,2369ms	39
full      	    1,2374ms	40
full      	    1,2378ms	41
full      	    1,2361ms	42
full      	    1,2345ms	43
full      	    1,2361ms	44
full      	    1,2398ms	45
full      	    1,2382ms	46
full      	    0,9674ms	47
full      	    0,9670ms	48
full      	    0,9666ms	49
full      	    0,9662ms	50
full      	    0,9658ms	51
full      	    0,9822ms	52
full      	    0,9662ms	53
full      	    0,9662ms	54
full      	    0,9650ms	55
full      	    1,0719ms	56
full      	    0,9637ms	57
full      	    0,9654ms	58
full      	    0,9666ms	59
full      	    0,9625ms	60
full      	    0,9666ms	61
full      	    0,9691ms	62
full      	    0,9658ms	63
full      	    1,0317ms	64
full      	    0,9666ms	65
full      	    0,9646ms	66
full      	    0,9654ms	67
full      	    0,9662ms	68
full      	    0,9654ms	69
full      	    0,9641ms	70
full      	    1,1022ms	71
full      	    0,9605ms	72
full      	    0,9654ms	73
full      	    0,9637ms	74
full      	    0,9637ms	75
full      	    0,9793ms	76
full      	    0,9633ms	77
full      	    0,9633ms	78
full      	    0,9625ms	79
full      	    0,9625ms	80
full      	    0,9768ms	81
full      	    0,9629ms	82
full      	    0,9617ms	83
full      	    0,9633ms	84
full      	    0,9625ms	85
full      	    0,9973ms	86
full      	    0,9687ms	87
full      	    0,9613ms	88
full      	    0,9637ms	89
full      	    0,9621ms	90
full      	    0,9674ms	91
full      	    0,9617ms	92
full      	    0,9613ms	93
full      	    1,0158ms	94
full      	    0,9609ms	95
full      	    0,9621ms	96
full      	    0,9629ms	97
full      	    0,9621ms	98
full      	    0,9621ms	99
full      	    0,9625ms	100

C:\Users\fbie\src\funcalc>echo off 
