
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 C:\Users\fbie\src\funcalc-euses\financial\processed\financial-model-spreadsheet.xml 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\financial\processed\financial-model-spreadsheet.xml
full      	    2,6845ms	1
full      	    2,6324ms	2
full      	    2,6595ms	3
full      	    2,6275ms	4
full      	    2,6411ms	5
full      	    2,7140ms	6
full      	    2,6210ms	7
full      	    2,6181ms	8
full      	    2,6992ms	9
full      	    2,6210ms	10
full      	    2,6144ms	11
full      	    2,7160ms	12
full      	    2,6128ms	13
full      	    2,8119ms	14
full      	    2,6095ms	15
full      	    2,6112ms	16
full      	    2,6083ms	17
full      	    2,6107ms	18
full      	    2,6083ms	19
full      	    2,6120ms	20
full      	    2,6120ms	21
full      	    2,6120ms	22
full      	    2,6812ms	23
full      	    2,6099ms	24
full      	    2,6112ms	25
full      	    2,7217ms	26
full      	    2,6083ms	27
full      	    2,6116ms	28
full      	    2,6791ms	29
full      	    2,6132ms	30
full      	    2,6116ms	31
full      	    2,6095ms	32
full      	    2,6099ms	33
full      	    2,6103ms	34
full      	    2,6107ms	35
full      	    2,6144ms	36
full      	    2,6120ms	37
full      	    2,6128ms	38
full      	    2,6140ms	39
full      	    2,6521ms	40
full      	    2,6091ms	41
full      	    2,6107ms	42
full      	    2,6800ms	43
full      	    2,6120ms	44
full      	    2,6120ms	45
full      	    2,6804ms	46
full      	    2,6124ms	47
full      	    2,6095ms	48
full      	    2,7320ms	49
full      	    2,6148ms	50
full      	    2,6120ms	51
full      	    2,6140ms	52
full      	    2,6107ms	53
full      	    2,6091ms	54
full      	    2,6120ms	55
full      	    2,6124ms	56
full      	    2,6116ms	57
full      	    2,6148ms	58
full      	    2,6112ms	59
full      	    2,6841ms	60
full      	    2,6112ms	61
full      	    2,6103ms	62
full      	    2,6767ms	63
full      	    2,6095ms	64
full      	    2,6091ms	65
full      	    2,6759ms	66
full      	    2,6112ms	67
full      	    2,6107ms	68
full      	    2,6128ms	69
full      	    2,7111ms	70
full      	    2,6103ms	71
full      	    2,6124ms	72
full      	    2,6148ms	73
full      	    2,6116ms	74
full      	    2,6128ms	75
full      	    2,6103ms	76
full      	    2,6828ms	77
full      	    2,6087ms	78
full      	    2,6116ms	79
full      	    2,6804ms	80
full      	    2,6132ms	81
full      	    2,6116ms	82
full      	    2,6820ms	83
full      	    2,6120ms	84
full      	    2,6112ms	85
full      	    2,6152ms	86
full      	    2,6124ms	87
full      	    2,6189ms	88
full      	    2,6112ms	89
full      	    2,6079ms	90
full      	    2,6083ms	91
full      	    2,6091ms	92
full      	    2,6099ms	93
full      	    2,6456ms	94
full      	    2,6128ms	95
full      	    2,6087ms	96
full      	    2,7013ms	97
full      	    2,6095ms	98
full      	    2,6136ms	99
full      	    2,6759ms	100

C:\Users\fbie\src\funcalc>echo off 
