
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 C:\Users\fbie\src\funcalc-euses\modeling\processed\iste-cs-2003-modeling-sim.xml 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\modeling\processed\iste-cs-2003-modeling-sim.xml
full      	    2,5169ms	1
full      	    2,4825ms	2
full      	    2,5395ms	3
full      	    2,4719ms	4
full      	    2,4879ms	5
full      	    2,4678ms	6
full      	    2,5354ms	7
full      	    2,4666ms	8
full      	    2,4723ms	9
full      	    2,4788ms	10
full      	    2,5452ms	11
full      	    2,4932ms	12
full      	    2,4662ms	13
full      	    2,4649ms	14
full      	    2,4854ms	15
full      	    2,4653ms	16
full      	    2,4686ms	17
full      	    2,4690ms	18
full      	    2,4719ms	19
full      	    2,4719ms	20
full      	    2,4649ms	21
full      	    2,4662ms	22
full      	    2,4686ms	23
full      	    2,4686ms	24
full      	    2,4674ms	25
full      	    2,5255ms	26
full      	    2,4711ms	27
full      	    2,4694ms	28
full      	    2,4649ms	29
full      	    2,5329ms	30
full      	    2,4707ms	31
full      	    2,4641ms	32
full      	    2,4645ms	33
full      	    2,5616ms	34
full      	    2,4686ms	35
full      	    2,4637ms	36
full      	    2,4649ms	37
full      	    2,5370ms	38
full      	    2,4649ms	39
full      	    2,4686ms	40
full      	    2,4657ms	41
full      	    2,5358ms	42
full      	    2,4883ms	43
full      	    2,4702ms	44
full      	    2,4686ms	45
full      	    2,4694ms	46
full      	    2,4690ms	47
full      	    2,4698ms	48
full      	    2,4698ms	49
full      	    2,4666ms	50
full      	    2,4723ms	51
full      	    2,4686ms	52
full      	    2,4698ms	53
full      	    2,4666ms	54
full      	    2,4653ms	55
full      	    2,4649ms	56
full      	    2,5415ms	57
full      	    2,4694ms	58
full      	    2,4682ms	59
full      	    2,4698ms	60
full      	    2,5378ms	61
full      	    2,4662ms	62
full      	    2,4670ms	63
full      	    2,4715ms	64
full      	    2,5341ms	65
full      	    2,5153ms	66
full      	    2,4715ms	67
full      	    2,4698ms	68
full      	    2,5362ms	69
full      	    2,4694ms	70
full      	    2,4682ms	71
full      	    2,4645ms	72
full      	    2,5128ms	73
full      	    2,4674ms	74
full      	    2,4694ms	75
full      	    2,4694ms	76
full      	    2,4690ms	77
full      	    2,4715ms	78
full      	    2,4686ms	79
full      	    2,4645ms	80
full      	    2,4641ms	81
full      	    2,4694ms	82
full      	    2,4637ms	83
full      	    2,4723ms	84
full      	    2,4686ms	85
full      	    2,4707ms	86
full      	    2,5837ms	87
full      	    2,5333ms	88
full      	    2,4694ms	89
full      	    2,4645ms	90
full      	    2,4694ms	91
full      	    2,5354ms	92
full      	    2,4662ms	93
full      	    2,4707ms	94
full      	    2,4723ms	95
full      	    2,5305ms	96
full      	    2,4674ms	97
full      	    2,4702ms	98
full      	    2,4657ms	99
full      	    2,5350ms	100

C:\Users\fbie\src\funcalc>echo off 
