
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 C:\Users\fbie\src\funcalc-euses\modeling\processed\modeling-3.xml 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\modeling\processed\modeling-3.xml
full      	    0,4005ms	1
full      	    0,3440ms	2
full      	    0,3428ms	3
full      	    0,3440ms	4
full      	    0,3420ms	5
full      	    0,3407ms	6
full      	    0,3428ms	7
full      	    0,3416ms	8
full      	    0,3399ms	9
full      	    0,3469ms	10
full      	    0,3416ms	11
full      	    0,3407ms	12
full      	    0,3428ms	13
full      	    0,3440ms	14
full      	    0,3403ms	15
full      	    0,3420ms	16
full      	    0,3420ms	17
full      	    0,3399ms	18
full      	    0,3432ms	19
full      	    0,3403ms	20
full      	    0,3395ms	21
full      	    0,3424ms	22
full      	    0,3411ms	23
full      	    0,3395ms	24
full      	    0,3432ms	25
full      	    0,3411ms	26
full      	    0,3387ms	27
full      	    0,3436ms	28
full      	    0,3411ms	29
full      	    0,3403ms	30
full      	    0,3428ms	31
full      	    0,3416ms	32
full      	    0,3399ms	33
full      	    0,3424ms	34
full      	    0,3403ms	35
full      	    0,3395ms	36
full      	    0,3424ms	37
full      	    0,3411ms	38
full      	    0,3407ms	39
full      	    0,3424ms	40
full      	    0,3416ms	41
full      	    0,3387ms	42
full      	    0,3432ms	43
full      	    0,3411ms	44
full      	    0,3395ms	45
full      	    0,3428ms	46
full      	    0,3411ms	47
full      	    0,3395ms	48
full      	    0,3432ms	49
full      	    0,3407ms	50
full      	    0,3395ms	51
full      	    0,3428ms	52
full      	    0,3411ms	53
full      	    0,3399ms	54
full      	    0,3424ms	55
full      	    0,3403ms	56
full      	    0,3399ms	57
full      	    0,3420ms	58
full      	    0,3411ms	59
full      	    0,3403ms	60
full      	    0,3420ms	61
full      	    0,3407ms	62
full      	    0,3395ms	63
full      	    0,3432ms	64
full      	    0,3952ms	65
full      	    0,3411ms	66
full      	    0,3432ms	67
full      	    0,3416ms	68
full      	    0,3403ms	69
full      	    0,3424ms	70
full      	    0,3407ms	71
full      	    0,3387ms	72
full      	    0,3428ms	73
full      	    0,3407ms	74
full      	    0,3391ms	75
full      	    0,3424ms	76
full      	    0,3407ms	77
full      	    0,3391ms	78
full      	    0,3428ms	79
full      	    0,3407ms	80
full      	    0,3403ms	81
full      	    0,3432ms	82
full      	    0,3411ms	83
full      	    0,3395ms	84
full      	    0,3428ms	85
full      	    0,3411ms	86
full      	    0,3395ms	87
full      	    0,3428ms	88
full      	    0,3411ms	89
full      	    0,3395ms	90
full      	    0,3420ms	91
full      	    0,3403ms	92
full      	    0,3399ms	93
full      	    0,3428ms	94
full      	    0,3411ms	95
full      	    0,3395ms	96
full      	    0,3432ms	97
full      	    0,3407ms	98
full      	    0,3403ms	99
full      	    0,3424ms	100

C:\Users\fbie\src\funcalc>echo off 
