
C:\Users\fbie\src\funcalc>Funcalc.App\bin\Release\Funcalc.App.exe full 100 C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml 
#benchmark:full iterations:100 file:C:\Users\fbie\src\funcalc-euses\homework\processed\v1tmp.xml
full      	    1,1276ms	1
full      	    1,1046ms	2
full      	    1,0944ms	3
full      	    1,1104ms	4
full      	    1,1493ms	5
full      	    1,1026ms	6
full      	    1,0956ms	7
full      	    1,0948ms	8
full      	    1,1083ms	9
full      	    1,1034ms	10
full      	    1,0940ms	11
full      	    1,0911ms	12
full      	    1,0956ms	13
full      	    1,0932ms	14
full      	    1,0964ms	15
full      	    1,0948ms	16
full      	    1,0940ms	17
full      	    1,0944ms	18
full      	    1,0928ms	19
full      	    1,2795ms	20
full      	    1,1304ms	21
full      	    1,0944ms	22
full      	    1,0928ms	23
full      	    1,0928ms	24
full      	    1,0928ms	25
full      	    1,0915ms	26
full      	    1,0911ms	27
full      	    1,2533ms	28
full      	    1,2378ms	29
full      	    1,1612ms	30
full      	    1,0919ms	31
full      	    1,0932ms	32
full      	    1,1001ms	33
full      	    1,0936ms	34
full      	    1,1010ms	35
full      	    1,0932ms	36
full      	    1,1001ms	37
full      	    1,0936ms	38
full      	    1,0907ms	39
full      	    1,0924ms	40
full      	    1,0919ms	41
full      	    1,1182ms	42
full      	    1,0924ms	43
full      	    1,0924ms	44
full      	    1,0924ms	45
full      	    1,0919ms	46
full      	    1,1005ms	47
full      	    1,0948ms	48
full      	    1,0919ms	49
full      	    1,1546ms	50
full      	    1,0924ms	51
full      	    1,0915ms	52
full      	    1,0928ms	53
full      	    1,0924ms	54
full      	    1,0907ms	55
full      	    1,0932ms	56
full      	    1,0936ms	57
full      	    1,0940ms	58
full      	    1,0919ms	59
full      	    1,0936ms	60
full      	    1,0936ms	61
full      	    1,0911ms	62
full      	    1,0915ms	63
full      	    1,0919ms	64
full      	    1,1706ms	65
full      	    1,0899ms	66
full      	    1,0932ms	67
full      	    1,0911ms	68
full      	    1,0932ms	69
full      	    1,0919ms	70
full      	    1,0936ms	71
full      	    1,0928ms	72
full      	    1,0924ms	73
full      	    1,0932ms	74
full      	    1,0911ms	75
full      	    1,0915ms	76
full      	    1,0944ms	77
full      	    1,0903ms	78
full      	    1,0944ms	79
full      	    1,1300ms	80
full      	    1,0936ms	81
full      	    1,0915ms	82
full      	    1,0919ms	83
full      	    1,0899ms	84
full      	    1,0936ms	85
full      	    1,0948ms	86
full      	    1,0919ms	87
full      	    1,1812ms	88
full      	    1,0924ms	89
full      	    1,0915ms	90
full      	    1,0928ms	91
full      	    1,0936ms	92
full      	    1,0907ms	93
full      	    1,0936ms	94
full      	    1,0919ms	95
full      	    1,0928ms	96
full      	    1,0940ms	97
full      	    1,0924ms	98
full      	    1,0936ms	99
full      	    1,0948ms	100

C:\Users\fbie\src\funcalc>echo off 
